season,Team,age,pw,pl,sos,srs,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,attend,attend_g,W,L,W/L%,MOV/A,ORtg/A,DRtg/A,NRtg/A,Rk,playoffs
2022,Atlanta Hawks,26.1,45.0,37.0,-0.01,1.55,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,672742.0,16408.0,43,39,0.524,1.55,117.42,115.84,1.58,14,0
2021,Atlanta Hawks,25.4,41.0,31.0,-0.18,2.14,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,59288.0,1647.0,41,31,0.569,2.14,116.33,114.14,2.19,11,0
2020,Atlanta Hawks,24.1,18.0,49.0,0.27,-7.71,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,545453.0,16043.0,20,47,0.299,-7.71,108.18,115.56,-7.37,28,0
2019,Atlanta Hawks,25.1,27.0,55.0,-0.04,-6.06,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,628440.0,15328.0,29,53,0.354,-6.06,108.83,114.59,-5.76,26,0
2018,Atlanta Hawks,25.4,27.0,55.0,0.15,-5.3,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,590769.0,14409.0,24,58,0.293,-5.3,105.81,111.12,-5.31,26,0
2017,Atlanta Hawks,27.9,39.0,43.0,-0.38,-1.23,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,654306.0,15959.0,43,39,0.524,-1.23,105.32,106.69,-1.37,20,1
2016,Atlanta Hawks,28.2,51.0,31.0,-0.12,3.49,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,690150.0,16833.0,48,34,0.585,3.49,105.74,102.12,3.62,7,1
2015,Atlanta Hawks,27.8,56.0,26.0,-0.68,4.75,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,713909.0,17412.0,60,22,0.732,4.75,109.85,104.56,5.29,4,1
2014,Atlanta Hawks,27.5,40.0,42.0,-0.4,-0.88,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,587927.0,14231.0,38,44,0.463,-0.88,106.74,107.71,-0.97,16,1
2013,Atlanta Hawks,27.1,42.0,40.0,-0.48,-0.08,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,620146.0,15126.0,44,38,0.537,-0.07,105.39,105.54,-0.15,16,1
2012,Atlanta Hawks,27.9,41.0,25.0,-0.77,2.67,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,501593.0,15200.0,40,26,0.606,2.67,105.57,102.72,2.85,9,1
2011,Atlanta Hawks,27.4,39.0,43.0,-0.28,-1.1,89.3,0.269,0.222,0.542,0.501,13.5,23.4,0.209,0.495,12.3,74.6,0.211,641596.0,15649.0,44,38,0.537,-1.1,107.03,108.29,-1.26,18,1
2022,Boston Celtics,26.1,59.0,23.0,-0.26,7.02,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,727928.0,17754.0,51,31,0.622,7.02,115.05,107.65,7.39,1,0
2021,Boston Celtics,25.1,39.0,33.0,-0.14,1.32,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,30067.0,835.0,36,36,0.5,1.32,114.69,113.47,1.22,13,0
2020,Boston Celtics,25.3,50.0,22.0,-0.47,5.83,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,610864.0,19090.0,48,24,0.667,5.83,114.01,108.15,5.86,5,1
2019,Boston Celtics,25.7,52.0,30.0,-0.54,3.9,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,763584.0,18624.0,49,33,0.598,3.9,112.57,108.69,3.88,8,1
2018,Boston Celtics,24.7,51.0,31.0,-0.35,3.23,96.0,0.243,0.357,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,763584.0,18624.0,55,27,0.671,3.24,108.14,104.75,3.39,7,1
2017,Boston Celtics,25.9,48.0,34.0,-0.39,2.25,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,760690.0,18553.0,53,29,0.646,2.25,111.81,109.49,2.33,8,1
2016,Boston Celtics,25.2,50.0,32.0,-0.37,2.84,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,749076.0,18270.0,48,34,0.585,2.84,107.24,104.43,2.81,8,1
2015,Boston Celtics,25.0,41.0,41.0,-0.56,-0.4,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,721350.0,17594.0,40,42,0.488,-0.4,105.14,105.58,-0.44,19,1
2014,Boston Celtics,25.4,28.0,54.0,-0.51,-4.97,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,742400.0,18107.0,25,57,0.305,-4.98,103.69,109.03,-5.34,26,0
2013,Boston Celtics,29.1,40.0,41.0,-0.4,-0.62,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,744960.0,18624.0,41,40,0.506,-0.62,103.77,104.51,-0.75,17,1
2012,Boston Celtics,29.3,39.0,27.0,-0.26,2.26,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,614592.0,18624.0,39,27,0.591,2.26,102.19,99.69,2.5,12,1
2011,Boston Celtics,29.5,57.0,25.0,-0.54,4.83,90.4,0.305,0.18,0.561,0.519,14.5,21.1,0.235,0.469,14.8,74.7,0.235,763584.0,18624.0,56,26,0.683,4.83,107.03,101.73,5.3,6,1
2022,Brooklyn Nets,29.1,43.0,39.0,0.04,0.82,99.0,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,711539.0,17355.0,44,38,0.537,0.82,114.84,114.03,0.81,15,0
2021,Brooklyn Nets,28.2,46.0,26.0,-0.27,4.24,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,30491.0,847.0,48,24,0.667,4.24,119.0,114.76,4.24,7,0
2020,Brooklyn Nets,26.3,35.0,37.0,-0.44,-1.01,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,524907.0,16403.0,35,37,0.486,-1.01,109.63,110.64,-1.01,19,1
2019,Brooklyn Nets,25.4,41.0,41.0,-0.33,-0.4,100.8,0.284,0.403,0.556,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,612597.0,14941.0,42,40,0.512,-0.4,110.15,110.56,-0.41,16,1
2018,Brooklyn Nets,25.1,31.0,51.0,0.07,-3.67,98.9,0.26,0.411,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,640010.0,15376.0,28,54,0.341,-3.67,107.83,111.55,-3.72,24,0
2017,Brooklyn Nets,26.0,24.0,58.0,-0.01,-6.74,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,632608.0,15429.0,20,62,0.244,-6.74,104.63,111.37,-6.74,29,0
2016,Brooklyn Nets,26.9,22.0,60.0,0.24,-7.12,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,620142.0,15125.0,21,61,0.256,-7.11,104.06,111.66,-7.61,28,0
2015,Brooklyn Nets,28.6,33.0,49.0,-0.25,-3.13,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,698529.0,17037.0,38,44,0.463,-3.13,105.17,108.48,-3.31,23,1
2014,Brooklyn Nets,30.0,38.0,44.0,-0.58,-1.58,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,707331.0,17252.0,44,38,0.537,-1.58,107.36,109.16,-1.8,20,1
2013,Brooklyn Nets,28.6,46.0,36.0,-0.53,1.25,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,704702.0,17188.0,49,33,0.598,1.25,109.1,107.71,1.39,12,1
2022,Chicago Bulls,26.3,40.0,42.0,0.02,-0.38,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,856148.0,20882.0,46,36,0.561,-0.37,114.13,114.58,-0.45,20,0
2021,Chicago Bulls,25.6,34.0,38.0,-0.05,-0.94,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,13655.0,379.0,31,41,0.431,-0.94,111.9,112.87,-0.97,20,0
2020,Chicago Bulls,24.4,26.0,39.0,-0.93,-4.0,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,639352.0,18804.0,22,43,0.338,-4.0,107.22,111.29,-4.07,23,0
